"Date","AMD","JNPR","IR","IP","KBH","HRB","ADI","MMM","KLAC","AVP","A","CSCO","FDX","CB","NEM"
"04/01/2010",9.7,27.18,28.934,26.796,14.02,22.66,31.67,83.02,36.92,32.12,22.382,24.69,83.45,49.27,48.45
"05/01/2010",9.71,26.75,28.647,27.742,14.46,22.34,31.62,82.5,36.51,32.25,22.139,24.58,84.54,48.16,48.58
"06/01/2010",9.57,26.03,28.44,27.426,14.36,21.81,31.56,83.67,36.37,31.99,22.06,24.42,83.84,47.5,49.61
"07/01/2010",9.47,26.16,28.727,26.381,15.8,21.91,31.31,83.73,36.57,31.18,22.032,24.53,82.93,47.77,49.29
"08/01/2010",9.43,26.25,29.222,26.549,15.97,22,31.49,84.32,37.12,31.47,22.025,24.66,84.99,47.5,49.62
"11/01/2010",9.14,26.2,29.94,26.234,16.38,22.1,31.31,83.98,36.96,30.93,22.039,24.59,87.25,48.01,50.18
"12/01/2010",8.65,25.86,29.31,26.303,15.72,21.97,30.01,84.05,35.67,32.17,21.774,24.2,86.58,48.11,48.52
"13/01/2010",9.15,26.48,29.278,26.243,15.74,22.27,30,83.78,36.09,31.99,21.946,24.64,85.82,48.27,48.75
"14/01/2010",9,26.34,29.525,25.859,15.68,23.07,29.97,83.5,35,32.32,22.275,24.95,86.29,48.73,48.42
"15/01/2010",8.84,26.58,29.581,25.711,15.3,22.72,28.96,83.37,33.34,32.26,21.76,24.4,85.11,48.21,47.61
"19/01/2010",9.01,26.87,29.924,26.579,15.45,22.91,29.47,85.12,33.64,32.8,22.025,24.85,85.9,48.82,48.44
"20/01/2010",8.87,26.05,29.725,25.908,15.32,22.82,28.93,84.72,33.23,32.32,21.903,24.41,84.06,48.74,46.41
"21/01/2010",8.99,26.12,29.27,24.104,14.96,22.67,29.06,82.7,32.85,32.1,21.824,23.98,81.6,48.41,44.44
"22/01/2010",7.88,24.95,28.128,24.084,14.35,22.22,27.76,81.48,30.86,31.84,20.859,22.97,80.29,47.89,44.43
"25/01/2010",8.07,25.37,27.945,24.153,14.28,22.24,28.01,81.83,30.96,31.82,21.059,22.99,80.69,48.44,44.13
"26/01/2010",8.09,24.86,27.745,24.124,14.59,21.73,27.6,81.63,30.67,31.19,20.945,22.9,80.76,48.55,44.24
"27/01/2010",8.19,25.02,27.043,23.542,15.13,22.02,27.7,82.3,30.85,31.12,20.859,23.15,80.42,48.96,44.19
"28/01/2010",7.88,24.49,26.572,22.744,15.26,21.78,27.15,80.75,29.38,31.01,20.516,22.52,79.07,48.83,43.99
"29/01/2010",7.46,24.83,25.909,22.586,15.28,21.52,26.96,80.49,28.2,30.14,20.044,22.47,78.35,49.27,42.86
"01/02/2010",7.98,25.06,26.364,23.562,15.29,21.58,27.52,80.44,29.19,31.17,20.831,22.73,80.67,49.02,45.54
"02/02/2010",7.91,25.17,27.53,23.68,16.21,21.69,27.78,80.43,29.1,32.47,21.095,23.02,82.33,49.56,45.27
"03/02/2010",7.81,25.33,27.57,22.349,16.09,21.67,27.65,81.5,29.29,32.6,21.124,23.07,82.12,49.66,45.87
"04/02/2010",7.19,24.89,26.388,21.837,15.34,21.1,26.5,79.21,28.31,30.3,20.788,23.16,78.85,48.13,43.54
"05/02/2010",7.35,25,26.268,22.349,14.92,20.88,26.9,78.54,28.79,29.24,20.859,23.7,76.69,48.33,46.23
"08/02/2010",7.42,24.91,26.245,22.192,15.45,20.96,26.8,77.53,28.72,29.21,20.881,23.499,76.69,48.31,44.41
"09/02/2010",7.54,25.12,26.787,22.596,15.7,21.12,27.12,78.72,29.17,29.46,21.031,23.89,79.22,48.7,45.82
"10/02/2010",7.64,25.02,26.652,22.093,15.89,20.8,27.05,78.62,28.99,29.32,20.916,23.76,78.29,48.79,45.33
"11/02/2010",7.84,25.26,27.123,22.054,16.5,20.78,27.67,80.27,29.48,29.69,20.995,23.93,79.53,48.78,46.76
"12/02/2010",7.87,24.76,24.951,22.251,16.62,20.85,27.99,79.18,29.67,29.34,21.438,23.76,78.55,48.81,46.53
"16/02/2010",8.06,25.45,25.446,23.759,16.97,20.88,28.6,80.47,30.82,30.15,21.631,24,79.97,49.49,47.42
"17/02/2010",8.03,25.62,25.965,23.375,16.81,21.04,28.38,80.14,30.43,30.53,21.903,24.07,79.94,49.75,47.24
"18/02/2010",7.95,25.94,26.532,23.887,16.65,21.3,29.57,81.11,30.25,30.95,22.153,24.28,80.1,50.32,48.41
"19/02/2010",7.93,27.44,26.628,23.907,16.68,21.12,29.75,81.52,30.58,30.32,22.311,24.36,81.76,50.39,48.54
"22/02/2010",7.9,27.21,26.556,23.651,16.8,20.16,29.89,80.68,30.33,30.37,22.275,24.3,82.36,50.7,47.73
"23/02/2010",7.79,26.9,25.949,23.67,16.22,19.73,29.15,79.71,28.89,30.28,22.06,24.05,81.49,50.29,46.58
"24/02/2010",8.05,27.95,25.861,23.562,16.21,17.32,29.49,80.07,29.09,30.85,22.332,24.34,83.08,50.33,46.48
"25/02/2010",7.89,28,25.534,23.552,16.28,17.34,29.63,79.74,28.9,30.29,22.232,24.33,83.18,50.37,49.02
"26/02/2010",7.91,27.98,25.47,22.842,16.28,17.28,29.24,80.15,29.13,30.44,22.497,24.33,84.76,49.99,49.28
"01/03/2010",8.21,28.53,26.093,23.838,16.58,17.15,29.82,80.58,30.14,30.97,22.947,24.6,85.81,50.43,50.28
