"Date","MMM","ABT","ANF","ADBE","AMD","A","APD","AKS","AA","AAPL","ADI","T","BHI","AVP","AZO","BAC","BAX","NVS","BK","CHK","CVX","CB","CIEN","CI","CINF","CSCO","C","CTXS","CLX","CME","EBAY","ECL","ETR","FAST","FDX","FHN","F","GME","GD","GS","HRB","HAL","HOG","HD","IR","INTC","IP","JCP","JNJ","KIM","KLAC","K","KBH","JNPR","JPM","NEM","NSC","NBL","NOC","NUE","OXY","PFE","PBI","PPL"
"04/01/2010",83.02,26.058,35.1,37.09,9.7,22.382,83.16,22.75,16.65,30.573,31.67,28.58,41.24,32.12,158.03,15.69,31.667,52.61,28.29,26.57,79.06,49.27,11.02,36.37,26.5,24.69,34,42.84,61.43,68.482,10.059,45.25,82.15,21.015,83.45,12.599,10.28,22.9,69.19,173.08,22.66,31.25,25.46,28.67,28.934,20.88,26.796,27.16,64.68,13.66,36.92,52.83,14.02,27.18,42.85,48.45,52.59,36.61,51.573,47.79,79.713,18.93,22.92,30.13
"05/01/2010",82.5,25.847,35.46,37.7,9.71,22.139,82.47,22.94,16.13,30.626,31.62,28.44,43.66,32.25,156.71,16.2,31.449,52.56,28.59,27.402,79.62,48.16,11.86,36.98,26.51,24.58,35.3,42.87,62.1,68.426,9.954,44.56,80.84,21.45,84.54,12.665,10.96,23.52,69.3,176.14,22.34,31.65,25.65,28.88,28.647,20.87,27.742,27.18,63.93,13.59,36.51,52.95,14.46,26.75,43.68,48.58,53.4,37.56,51.664,48.12,79.138,18.66,22.02,29.74
"06/01/2010",83.67,25.991,36.21,37.62,9.57,22.06,81.79,24.1,16.97,30.139,31.56,27.61,45.84,31.99,155.24,16.39,31.558,52.37,28.16,27.099,79.63,47.5,11.91,36.9,26.57,24.42,36.4,42.7,61.94,67.962,9.891,44.43,81.25,22.865,83.84,13.022,11.37,24.03,69.24,174.26,21.81,32.4,25.59,28.78,28.44,20.8,27.426,27.62,64.45,13.65,36.37,52.96,14.36,26.03,43.92,49.61,53.25,37.915,51.863,49.57,80.087,18.6,22.24,29.805
"07/01/2010",83.73,26.206,32.67,36.89,9.47,22.032,81.32,23.57,16.61,30.083,31.31,27.3,46.17,31.18,157.3,16.93,32.069,51.91,29.35,27.166,79.33,47.77,12.21,38.26,26.67,24.53,36.5,42.66,61.35,68.046,9.777,44.91,80.28,23.255,82.93,13.342,11.66,20.46,69.44,177.67,21.91,32.48,25.8,29.12,28.727,20.6,26.381,26.81,63.99,14.11,36.57,53.48,15.8,26.16,44.79,49.29,52.55,37.405,52.399,49.23,79.493,18.53,22.27,29.518
"08/01/2010",84.32,26.34,33.58,36.69,9.43,22.025,81.84,25.77,17.02,30.283,31.49,27.1,47.1,31.47,155.28,16.78,32.145,52.33,29.53,27.345,79.47,47.5,11.93,37.97,26.58,24.66,35.9,43.82,61.36,69.864,9.895,45.29,79.51,23.49,84.99,13.379,11.69,20.29,69.44,174.31,22,34.12,25.53,28.98,29.222,20.83,26.549,26.6,64.21,13.93,37.12,53.38,15.97,26.25,44.68,49.62,54.36,37.635,52.108,49.93,80.308,18.68,22.27,29.425
"11/01/2010",83.98,26.474,32.48,36.21,9.14,22.039,83.34,24.91,17.45,30.016,31.31,26.97,46.6,30.93,155.48,16.93,31.96,53.27,29.02,26.485,80.88,48.01,11.76,37.37,26.78,24.59,36.3,42.49,61.34,69.85,9.87,46.28,81.05,23.03,87.25,13.266,12.11,20.32,70.73,171.56,22.1,33.78,25.17,28.16,29.94,20.95,26.234,26.33,64.22,14.13,36.96,53.41,16.38,26.2,44.53,50.18,54.23,37.805,52.163,49.64,79.579,18.83,21.94,29.805
"12/01/2010",84.05,26.397,32.41,35.66,8.65,21.774,82.28,25.1,15.52,29.674,30.01,26.96,45.71,32.17,155.14,16.36,32.465,52.68,29.07,26.087,80.41,48.11,11.72,36.54,26.73,24.2,35.2,42,61.43,68.434,9.76,46.43,81.72,23.025,86.58,12.984,11.87,20.77,70.3,167.82,21.97,33.29,24.81,27.98,29.31,20.608,26.303,25.37,64.56,13.74,35.67,53.39,15.72,25.86,43.49,48.52,54.02,38.035,52.217,48.41,76.893,18.77,22.11,29.833
"13/01/2010",83.78,26.455,32.86,36.28,9.15,21.946,83.1,25.15,15.98,30.093,30,26.64,46.55,31.99,154.75,16.62,32.797,53.02,29.29,26.314,79.8,48.27,12.06,36.45,26.97,24.64,35,42.49,61.93,68.646,9.933,47.06,82.88,23.345,85.82,13.106,11.68,20.79,71.07,169.07,22.27,34.05,25.88,28.13,29.278,20.96,26.243,25.9,64.97,14.19,36.09,53.72,15.74,26.48,44.25,48.75,54,38.375,53.787,48.43,76.385,19.21,22.27,30.26
"14/01/2010",83.5,26.484,32.97,35.9,9,22.275,82.07,24.77,15.81,29.919,29.97,26.19,47.53,32.32,154.38,16.82,33.524,53.65,29.25,26.172,79.55,48.73,11.98,36.77,27.03,24.95,35.1,43.07,61.89,68.35,9.63,46.39,82.8,23.15,86.29,13.257,11.76,20.5,71.1,168.53,23.07,34.31,25.73,28.3,29.525,21.48,25.859,26,65.1,13.97,35,53.85,15.68,26.34,44.69,48.42,53.15,38.81,53.796,47.91,76.98,19.38,22.26,29.945
"15/01/2010",83.37,26.551,32.58,35.87,8.84,21.76,82.77,23.66,15.63,29.419,28.96,25.79,47.28,32.26,155.08,16.26,33.448,52.88,29.03,26.399,79.23,48.21,11.63,36.84,26.86,24.4,34.2,43.22,61.19,67.448,9.457,46.14,81.85,22.93,85.11,12.815,11.6,20.5,70.61,165.21,22.72,34.03,25.08,28.57,29.581,20.8,25.711,25.88,64.56,13.62,33.34,54.34,15.3,26.58,43.68,47.61,52.78,38.85,53.179,47.43,75.704,19.49,21.93,29.592
"19/01/2010",85.12,26.89,32.21,36.95,9.01,22.025,82.58,23.87,15.62,30.72,29.47,26.2,48.05,32.8,157.28,16.32,33.378,53.7,29.53,26.683,79.68,48.82,12.91,37.92,27.35,24.85,35.4,43.92,61.48,67.638,9.79,46.92,82.16,22.41,85.9,12.552,11.75,20.81,70.69,166.86,22.91,34.6,25.71,28.88,29.924,21.05,26.579,26.12,65.35,13.81,33.64,54.5,15.45,26.87,43.28,48.44,53.05,39.52,53.469,48.11,76.126,20,22.07,29.889
"20/01/2010",84.72,26.909,31.68,36.49,8.87,21.903,81.48,23.05,15.23,30.246,28.93,25.83,47.14,32.32,156.37,16.49,33.03,53.53,30.96,26.163,78.15,48.74,13.04,38.2,27.04,24.41,34.6,42.91,61.4,65.998,9.356,47.1,81.06,22.13,84.06,12.693,11.51,20.51,69.36,167.79,22.82,33.27,25.84,28.66,29.725,21.08,25.908,25.78,65.15,13.61,33.23,53.87,15.32,26.05,43.4,46.41,51.75,38.805,52.879,47.11,75.023,19.94,21.93,29.471
"21/01/2010",82.7,26.584,30.68,35.82,8.99,21.824,79.86,21.22,14.25,29.725,29.06,25.67,46.63,32.1,157.33,15.47,32.378,53.48,30.67,25.709,76.24,48.41,12.71,37.05,26.84,23.98,32.7,42.81,61,62.204,10.156,45.81,79.75,21.755,81.6,12.777,11.18,20.42,68.14,160.87,22.67,32.53,25.58,28.48,29.27,20.84,24.104,25.43,63.97,13.27,32.85,53.44,14.96,26.12,40.54,44.44,50.4,38.645,51.419,45.69,72.912,19.24,21.51,28.924
"22/01/2010",81.48,26.082,29.98,34.38,7.88,20.859,78.07,20.19,13.4,28.25,27.76,25.39,44.27,31.84,155.87,14.9,31.911,53.57,29.27,25.179,74.59,47.89,12.24,36.72,26.29,22.97,32.5,41.4,60.12,62.426,9.924,44.87,78.54,21.275,80.29,12.524,10.52,20.03,67.02,154.12,22.22,31.15,23.59,27.72,28.128,19.91,24.084,25.27,63.2,13.04,30.86,54.34,14.35,24.95,39.16,44.43,49.65,38.16,50.466,44.19,72.999,18.96,21.23,28.246
"25/01/2010",81.83,26.173,30.45,34.16,8.07,21.059,80.26,21.27,13.39,29.011,28.01,25.58,44.59,31.82,156.44,14.98,32.031,53.46,29.76,25.501,74.55,48.44,13.06,36.35,26.47,22.99,32.3,41.15,60.17,61.398,9.971,45.07,78.73,21.32,80.69,12.43,11.03,19.93,67.86,154.98,22.24,31.07,23.42,27.62,27.945,20.32,24.153,25.16,63.22,13.05,30.96,54.17,14.28,25.37,39.21,44.13,49.87,39.095,50.53,44.13,74.485,18.85,21.28,28.423
"26/01/2010",81.63,26.067,31.05,33.94,8.09,20.945,79.58,21.23,13.54,29.42,27.6,25.33,46.89,31.19,158.34,14.77,32.085,54.37,29.27,25.094,74.15,48.55,12.77,34.36,26.23,22.9,31.5,42.08,59.26,57.24,10.131,44.51,79.31,21.075,80.76,12.082,11.19,19.64,68.72,150.88,21.73,30.88,23.18,27.73,27.745,20,24.124,25.16,62.79,12.84,30.67,54.85,14.59,24.86,38.44,44.24,49.75,38.26,50.829,43.56,73.536,18.78,21.16,28.413
"27/01/2010",82.3,25.79,31.18,33.14,8.19,20.859,78.86,20.93,13.3,29.698,27.7,25.62,47.6,31.12,156.38,15.19,32.003,54.55,29.76,24.527,73.7,48.96,13.23,34.59,26.45,23.15,32,41.98,59.24,58.866,10.088,44.65,78.72,21.125,80.42,12.448,11.55,19.94,67.23,151.5,22.02,30.41,23.52,27.84,27.043,20.24,23.542,24.99,63.44,12.83,30.85,55.05,15.13,25.02,39.33,44.19,50.43,37.5,51.473,42.59,73.315,19,21.2,27.885
"28/01/2010",80.75,25.814,31.21,32.89,7.88,20.516,77.04,20.75,12.92,28.47,27.15,25.54,46.47,31.01,155.42,15.37,31.618,54.06,29.17,24.129,73.24,48.83,13.14,34.49,26.23,22.52,32.4,42.71,59.29,58.102,9.819,43.9,77.1,20.745,79.07,12.26,11.41,19.86,67.6,153.29,21.78,29.65,23.35,27.34,26.572,19.92,22.744,24.81,63.8,12.59,29.38,54.81,15.26,24.49,39.48,43.99,48.09,37.28,51.383,41.4,74.342,18.63,21.18,27.569
"29/01/2010",80.49,25.33,31.54,32.3,7.46,20.044,75.96,20.34,12.73,27.438,26.96,25.36,45.28,30.14,155.03,15.18,31.286,53.53,29.09,23.439,72.12,49.27,12.75,33.77,26.39,22.47,33.2,41.55,59.17,57.364,9.689,43.9,76.31,20.74,78.35,12.176,10.84,19.77,66.85,148.72,21.52,29.21,22.74,28.01,25.909,19.4,22.586,24.83,62.86,12.62,28.2,54.42,15.28,24.83,38.94,42.86,47.06,36.97,51.346,40.8,75.147,18.66,20.92,27.365
"01/02/2010",80.44,25.522,32.07,32.48,7.98,20.831,76.81,21.64,13.36,27.819,27.52,25.38,47.33,31.17,156.5,15.42,31.433,54.06,29.58,24.46,73.58,49.02,13.1,33.79,26.31,22.73,33.4,42.31,59.48,58.244,9.752,44.37,77.23,20.765,80.67,12.006,11.12,19.93,69.43,153.13,21.58,30.65,23.27,28.39,26.364,19.61,23.562,25.2,63.09,12.93,29.19,54.72,15.29,25.06,39.63,45.54,48.08,37.91,52.544,41.97,76.577,18.79,21.13,27.486
"02/02/2010",80.43,26.048,32.62,32.98,7.91,21.095,76.62,21.89,13.67,27.98,27.78,25.69,47.26,32.47,157.58,15.6,31.764,54.72,29.26,24.829,74.45,49.56,13.43,35.24,26.64,23.02,34.1,42.35,60.26,58.642,9.714,44.68,78.78,21.475,82.33,11.988,11.39,20.23,70.03,156.94,21.69,30.76,23.5,29.03,27.53,19.91,23.68,25.8,63.99,13.01,29.1,55.36,16.21,25.17,40.55,45.27,49,38.575,52.78,42.92,77.488,19.24,21.41,27.504
"03/02/2010",81.5,26.149,31.96,32.98,7.81,21.124,76.19,21.3,13.49,28.461,27.65,25.58,47.32,32.6,157.09,15.53,31.232,54.8,28.57,24.432,73.21,49.66,13.39,34.76,26.63,23.07,33.7,42.46,60.66,58.422,9.777,44.52,79.74,21.51,82.12,11.809,11.64,20.51,70.12,157.23,21.67,30.36,23.26,28.47,27.57,19.68,22.349,25.97,63.63,12.66,29.29,55.19,16.09,25.33,40.29,45.87,48.45,38.355,53.079,41.94,76.864,18.62,21.54,27.281
"04/02/2010",79.21,25.751,33.21,32.24,7.19,20.788,73.69,19.54,12.91,27.436,26.5,25.03,45.22,30.3,154.4,14.75,30.607,54.11,27.29,22.871,71.37,48.13,12.87,33.52,26.26,23.16,31.8,41.38,60.35,53.858,9.448,43.16,77.11,21.07,78.85,11.696,11.06,20.1,68.16,150.68,21.1,28.86,22.69,27.93,26.388,19.02,21.837,25.15,62.64,12.66,28.31,52.41,15.34,24.89,38.35,43.54,46.83,36.355,52.526,39.5,73.325,18.03,21.3,26.558
"05/02/2010",78.54,25.823,33.18,32.77,7.35,20.859,68.64,20.43,13.18,27.923,26.9,25.24,44.73,29.24,155.38,15,30.743,53.41,27.14,23.193,71.18,48.33,12.8,33.36,26.31,23.7,32.2,41.79,60.57,56.16,9.558,43.37,77.09,20.995,76.69,11.865,10.91,20.15,66.66,154.16,20.88,28.29,22.57,27.98,26.268,19.47,22.349,24.45,62.64,12.97,28.79,52.72,14.92,25,38.3,46.23,47.1,36.525,52.308,40.46,73.584,17.96,22.34,26.91
"08/02/2010",77.53,25.527,32.44,32.05,7.42,20.881,68.35,19.99,13.06,27.731,26.8,24.98,44.55,29.21,156.94,14.48,30.618,53.08,26.86,22.928,70.13,48.31,12.76,33.08,25.66,23.499,31.5,42.11,60.27,56.056,9.466,43.52,76.29,20.605,76.69,11.818,10.97,19.69,66.35,151.1,20.96,28.1,22.23,28.59,26.245,19.35,22.192,24.3,62.37,12.6,28.72,52.01,15.45,24.91,37.7,44.41,46.31,36.3,52.589,39.57,73.191,17.84,22.09,26.66
"09/02/2010",78.72,25.527,32.4,32.31,7.54,21.031,67.95,20.8,13.28,28.027,27.12,25.26,45.55,29.46,159.05,14.47,30.629,53.58,27.06,23.183,71.31,48.7,13.09,33.48,25.78,23.89,31.8,43.19,60.7,56.636,9.415,44.16,76.26,21.17,79.22,12.053,11.15,18.82,68.04,152.49,21.12,29.08,22.73,28.87,26.787,19.65,22.596,24.75,62.76,12.8,29.17,52.49,15.7,25.12,38.39,45.82,47.14,37.215,54.022,40.46,74.735,17.88,22.28,26.882
"10/02/2010",78.62,25.484,32.29,32.76,7.64,20.916,68.22,20.48,13.16,27.874,27.05,25.12,45.26,29.32,158.5,14.67,30.493,53.22,27.39,23.079,70.75,48.79,13.67,33.06,25.85,23.76,32,42.9,60.24,55.27,9.243,43.78,76.67,20.765,78.29,12.373,10.94,19.17,67.64,153.63,20.8,29.23,22.63,28.65,26.652,19.69,22.093,24.53,62.73,12.76,28.99,52.33,15.89,25.02,38.87,45.33,46.99,36.64,53.106,39.92,75.195,17.74,22.42,26.752
"11/02/2010",80.27,25.618,33,32.64,7.84,20.995,68.4,21.45,13.58,28.381,27.67,25.19,46.68,29.69,158.65,14.63,30.428,53.86,27.46,23.77,71.73,48.78,13.94,33.34,25.87,23.93,32.1,43.07,60.12,57.014,9.314,41.33,77.55,21.07,79.53,12.11,11.18,19.36,67.8,154.05,20.78,30.16,23.23,28.99,27.123,20.06,22.054,24.79,62.91,12.73,29.48,52.62,16.5,25.26,39.02,46.76,48.58,37.5,53.895,41.15,77.181,17.87,22.47,27.216
"12/02/2010",79.18,25.804,33.85,31.45,7.87,21.438,68.53,21.68,13.28,28.626,27.99,25.07,46.5,29.34,160.85,14.45,30.379,53.71,27.05,23.609,71.01,48.81,14.38,32.76,25.98,23.76,31.8,43.16,59.36,58.214,9.163,41.79,77.14,20.915,78.55,12.251,11.12,19.17,67.95,153.93,20.85,30.02,23.49,29,24.951,20.43,22.251,24.89,62.72,12.82,29.67,52.34,16.62,24.76,38.95,46.53,48.48,37.185,53.424,41.13,76.548,17.8,22.37,27.105
