"","x"
"1","MMM"
"2","ABT"
"3","ANF"
"4","ADBE"
"5","AMD"
"6","A"
"7","APD"
"8","AKS"
"9","AA"
"10","AAPL"
"11","ADI"
"12","T"
"13","BHI"
"14","AVP"
"15","AZO"
"16","BAC"
"17","BAX"
"18","NVS"
"19","BK"
"20","CHK"
"21","CVX"
"22","CB"
"23","CIEN"
"24","CI"
"25","CINF"
"26","CSCO"
"27","C"
"28","CTXS"
"29","CLX"
"30","CME"
"31","EBAY"
"32","ECL"
"33","ETR"
"34","FAST"
"35","FDX"
"36","FHN"
"37","F"
"38","GME"
"39","GD"
"40","GS"
"41","HRB"
"42","HAL"
"43","HOG"
"44","HD"
"45","IR"
"46","INTC"
"47","IP"
"48","JCP"
"49","JNJ"
"50","KIM"
"51","KLAC"
"52","K"
"53","KBH"
"54","JNPR"
"55","JPM"
"56","NEM"
"57","NSC"
"58","NBL"
"59","NOC"
"60","NUE"
"61","OXY"
"62","PFE"
"63","PBI"
"64","PPL"
